median,mean,time_1
19354839,17235664,4/1/2018
19677420,15645610,5/1/2018
19677420,16440637,6/1/2018
19220844,16043124,7/1/2018
19068652,17064479,8/1/2018
19429832,16711794,9/1/2018
20832828,19258758,10/1/2018
21525364,19990184,11/1/2018
22119397,19624471,12/1/2018
22931914,15503735,1/1/2019
23557636,18810306,2/1/2019
24329850,17152299,3/1/2019
25270763,19693163,4/1/2019
25874164,19900868,5/1/2019
27999591,19864677,6/1/2019
28273918,23758828,7/1/2019
30259156,21707835,8/1/2019
31000481,27276766,9/1/2019
32357223,27127368,10/1/2019
34645357,30692493,11/1/2019
35835666,32686993,12/1/2019
37881975,32673821,1/1/2020
39023370,35863916,2/1/2020
40177809,36712721,3/1/2020
41002086,35873231,4/1/2020
42671914,37412115,5/1/2020
43873602,36596059,6/1/2020
46418103,38955106,7/1/2020
47327710,39620306,8/1/2020
45831938,36142053,9/1/2020
45177510,34253313,10/1/2020
46024942,35814972,11/1/2020
46761069,36882665,12/1/2020
47118908,35364498,1/1/2021
47768977,40598302,2/1/2021
48295962,37981400,3/1/2021
48867592,39289851,4/1/2021
49764518,43090417,5/1/2021
50210703,34888569,6/1/2021
50658407,43326329,7/1/2021
51513796,35374430,8/1/2021
52829805,44472580,9/1/2021
54212989,45230389,10/1/2021
55398005,51853851,11/1/2021
56283262,53842895,12/1/2021
57040942,52375056,1/1/2022
57678480,35695839,2/1/2022
58821419,51023632,3/1/2022
60515252,38430300,4/1/2022
61261007,37246456,5/1/2022
61460064,44144504,6/1/2022
61212713,29503202,7/1/2022
62213432,28377111,8/1/2022
60537860,31606363,9/1/2022
60301319,20284346,10/1/2022
60184473,36446701,11/1/2022
60225444,36910349,12/1/2022
60127285,50329543,1/1/2023
60011645,42842590,2/1/2023
60354870,50888601,3/1/2023
63677727,44056556,4/1/2023
62016298,47472579,5/1/2023
62847013,45764568,6/1/2023
62431656,46618573,7/1/2023
62639334,46191570,8/1/2023
62535495,46405072,9/1/2023
62587415,46298321,10/1/2023
62561455,46351696,11/1/2023
62574435,46325009,12/1/2023
62567945,46338353,1/1/2024
62571190,46331681,2/1/2024
62569567,46335017,3/1/2024
62570378,46333349,4/1/2024
62569973,46334183,5/1/2024
62570176,46333766,6/1/2024
62570074,46333974,7/1/2024
62570125,46333870,8/1/2024
62570100,46333922,9/1/2024
