median,mean,time_1
74301174,43409817,8/1/2018
75889567,43321450,9/1/2018
76008615,52503277,10/1/2018
76577762,48250589,11/1/2018
76688112,49574674,12/1/2018
76174190,48917434,1/1/2019
80313875,49139716,2/1/2019
80931430,50284060,3/1/2019
86739569,41553208,4/1/2019
92385704,43259289,5/1/2019
103720664,40670622,6/1/2019
113675982,55455284,7/1/2019
115860140,62994350,8/1/2019
125050871,64351184,9/1/2019
125931142,72968817,10/1/2019
128186051,72556053,11/1/2019
126834905,87849824,12/1/2019
127743729,74722957,1/1/2020
130034613,67000807,2/1/2020
130657983,59614992,3/1/2020
128722795,51078995,4/1/2020
128300401,57908608,5/1/2020
126388625,62243625,6/1/2020
124470153,62272966,7/1/2020
121578479,65875278,8/1/2020
121009305,64716082,9/1/2020
123581905,70763266,10/1/2020
124152418,76276577,11/1/2020
128924437,82519987,12/1/2020
130313545,87304085,1/1/2021
133550908,79156245,2/1/2021
129730979,95190480,3/1/2021
130704798,87091335,4/1/2021
138981731,123647203,5/1/2021
138281464,103297850,6/1/2021
147635226,95145206,7/1/2021
152108978,84316498,8/1/2021
158855679,93835606,9/1/2021
163193057,103230189,10/1/2021
166523291,91415192,11/1/2021
172134643,128518157,12/1/2021
173979612,73595870,1/1/2022
172885157,130015966,2/1/2022
165993861,132814446,3/1/2022
161815150,111096785,4/1/2022
158608063,130323352,5/1/2022
157552893,115299249,6/1/2022
155783767,146536026,7/1/2022
155041366,107686588,8/1/2022
153984562,130574205,9/1/2022
164886903,89695954,10/1/2022
167203555,116210559,11/1/2022
172051064,132231996,12/1/2022
174840844,110433233,1/1/2023
177629522,81135382,2/1/2023
181022796,116824242,3/1/2023
180790281,66174041,4/1/2023
185608767,93463008,5/1/2023
183199524,79818525,6/1/2023
184404146,86640766,7/1/2023
183801835,83229646,8/1/2023
184102990,84935206,9/1/2023
183952412,84082426,10/1/2023
184027701,84508816,11/1/2023
183990057,84295621,12/1/2023
184008879,84402218,1/1/2024
183999468,84348920,2/1/2024
184004174,84375569,3/1/2024
184001821,84362244,4/1/2024
184002997,84368907,5/1/2024
184002409,84365575,6/1/2024
184002703,84367241,7/1/2024
184002556,84366408,8/1/2024
184002630,84366825,9/1/2024
