median,mean,time_1
46478873,45454545,10/1/2017
45739437,45454545,11/1/2017
46473390,49681020,12/1/2017
46471562,47567783,1/1/2018
46432190,41471895,2/1/2018
46418456,46346559,3/1/2018
46115368,39569114,4/1/2018
46717194,42924272,5/1/2018
46494410,38331129,6/1/2018
46778277,42085134,7/1/2018
46661784,38542510,8/1/2018
46161046,39672662,9/1/2018
46761154,37431632,10/1/2018
47311845,37773605,11/1/2018
48795866,34010458,12/1/2018
48000356,38928021,1/1/2019
48746439,36249310,2/1/2019
49789479,36298467,3/1/2019
50852155,44481537,4/1/2019
51891494,43561744,5/1/2019
53163726,48072959,6/1/2019
56303278,48454319,7/1/2019
57808321,54649191,8/1/2019
59853535,53864953,9/1/2019
62146422,57688418,10/1/2019
63626395,58678493,11/1/2019
65638142,60084754,12/1/2019
66570585,57346324,1/1/2020
67503347,60613895,2/1/2020
67828340,62067633,3/1/2020
68530250,65919527,4/1/2020
67743077,59947917,5/1/2020
67974438,58451103,6/1/2020
67667538,59441488,7/1/2020
67676251,60972140,8/1/2020
67755339,65595870,9/1/2020
65465967,66277942,10/1/2020
65873936,61698102,11/1/2020
65707372,63208772,12/1/2020
66029991,64643907,1/1/2021
66288355,59126962,2/1/2021
65137693,61309332,3/1/2021
73170063,63388796,4/1/2021
76331896,67295533,5/1/2021
79852684,65088871,6/1/2021
82358918,68108114,7/1/2021
85377656,68413332,8/1/2021
86831363,77589220,9/1/2021
88430047,70565636,10/1/2021
88199550,72314194,11/1/2021
88656813,65934730,12/1/2021
89419204,66063134,1/1/2022
88777119,60584790,2/1/2022
90076000,57765285,3/1/2022
81207659,72670136,4/1/2022
78538203,69844484,5/1/2022
75014250,72901499,6/1/2022
73401169,74049575,7/1/2022
72156496,76811741,8/1/2022
72342103,70005610,9/1/2022
81150948,79611556,10/1/2022
85505466,78174639,11/1/2022
91381705,85996024,12/1/2022
96183357,79310629,1/1/2023
100895736,75775923,2/1/2023
111029416,75200561,3/1/2023
118552507,67663471,4/1/2023
132092570,66141111,5/1/2023
125322539,66902291,6/1/2023
128707555,66521701,7/1/2023
127015047,66711996,8/1/2023
127861301,66616848,9/1/2023
127438174,66664422,10/1/2023
127649737,66640635,11/1/2023
127543955,66652529,12/1/2023
127596846,66646582,1/1/2024
127570401,66649555,2/1/2024
127583623,66648069,3/1/2024
127577012,66648812,4/1/2024
127580318,66648440,5/1/2024
127578665,66648626,6/1/2024
127579491,66648533,7/1/2024
127579078,66648580,8/1/2024
127579285,66648556,9/1/2024
