median,mean,time_1
54773645,22500000,8/1/2020
56408593,22500000,9/1/2020
52457894,22500000,10/1/2020
51118896,22500000,11/1/2020
49352162,22500000,12/1/2020
47928019,22500000,1/1/2021
46864394,22500000,2/1/2021
46035138,25858586,3/1/2021
46449766,24179293,4/1/2021
46242452,25018940,5/1/2021
46346109,24599116,6/1/2021
46294280,24809028,7/1/2021
46320194,24704072,8/1/2021
46307237,24756550,9/1/2021
46313716,24730311,10/1/2021
46310476,24743430,11/1/2021
46312096,24736871,12/1/2021
46311286,24740151,1/1/2022
46311691,24738511,2/1/2022
46311489,24739331,3/1/2022
45312060,24738921,4/1/2022
44978850,24739126,5/1/2022
44534637,35242682,6/1/2022
44275495,29990904,7/1/2022
44041044,32616793,8/1/2022
43876513,29746637,9/1/2022
43958779,31181715,10/1/2022
43917646,30464176,11/1/2022
43938212,30822945,12/1/2022
43927929,30643561,1/1/2023
43933071,30733253,2/1/2023
43930500,30688407,3/1/2023
43931785,30710830,4/1/2023
43931142,30699618,5/1/2023
43931464,30705224,6/1/2023
43931303,30702421,7/1/2023
43931384,30703823,8/1/2023
43931343,30703122,9/1/2023
43931363,30703472,10/1/2023
43931353,30703297,11/1/2023
43931358,30703385,12/1/2023
43931356,30703341,1/1/2024
43931357,30703363,2/1/2024
43931357,30703352,3/1/2024
43931357,30703357,4/1/2024
43931357,30703355,5/1/2024
43931357,30703356,6/1/2024
43931357,30703355,7/1/2024
43931357,30703356,8/1/2024
43931357,30703356,9/1/2024
