median,mean,time_1
53427218,77777778,8/1/2018
53491556,65419501,9/1/2018
51597912,55826034,10/1/2018
50988143,54016873,11/1/2018
50153672,48948818,12/1/2018
50756336,53369516,1/1/2019
53613806,53153730,2/1/2019
55139061,54555368,3/1/2019
57138576,56367761,4/1/2019
58787880,57503616,5/1/2019
58815965,57749643,6/1/2019
59107130,51751086,7/1/2019
60128229,50187667,8/1/2019
60298021,52740369,9/1/2019
60600034,53198234,10/1/2019
61426219,38755282,11/1/2019
62590196,50267635,12/1/2019
63391449,50860203,1/1/2020
64154545,44891420,2/1/2020
65224434,55560018,3/1/2020
66005246,52843285,4/1/2020
66462155,53963891,5/1/2020
66849525,37323233,6/1/2020
67036159,43762375,7/1/2020
70045228,40361869,8/1/2020
70917033,29910412,9/1/2020
72161424,41253551,10/1/2020
72739638,44308314,11/1/2020
72963344,50708444,12/1/2020
73220438,47508379,1/1/2021
71109056,49108411,2/1/2021
69850965,47161328,3/1/2021
70480011,48134870,4/1/2021
70165488,47648099,5/1/2021
70322749,47891484,6/1/2021
70244118,47769791,7/1/2021
68777971,47830638,8/1/2021
68263045,47800215,9/1/2021
68520508,47815426,10/1/2021
68391776,47807820,11/1/2021
68456142,47811623,12/1/2021
68423959,47809722,1/1/2022
68440051,47810673,2/1/2022
68432005,47810197,3/1/2022
67167904,45631012,4/1/2022
69234158,50492308,5/1/2022
69800687,51862535,6/1/2022
70678282,77952225,7/1/2022
72614683,64297426,8/1/2022
73552681,65764765,9/1/2022
75430658,63562397,10/1/2022
78788135,59940449,11/1/2022
80313096,67994492,12/1/2022
81940575,65167503,1/1/2023
83200630,61049255,2/1/2023
84163142,67098556,3/1/2023
84596381,66352301,4/1/2023
84743637,66725428,5/1/2023
84670009,66538864,6/1/2023
84706823,66632146,7/1/2023
84688416,66585505,8/1/2023
84697619,66608826,9/1/2023
84693018,66597166,10/1/2023
84695319,66602996,11/1/2023
84694168,66600081,12/1/2023
84694743,66601538,1/1/2024
84694456,66600809,2/1/2024
84694600,66601174,3/1/2024
84694528,66600992,4/1/2024
84694564,66601083,5/1/2024
84694546,66601037,6/1/2024
84694555,66601060,7/1/2024
84694550,66601048,8/1/2024
84694552,66601054,9/1/2024
