median,mean,time_1
25104167,24853738,3/1/2019
25041535,24671767,4/1/2019
25041535,22758502,5/1/2019
25081509,22888706,6/1/2019
25094834,21688075,7/1/2019
25051749,20882183,8/1/2019
23428706,20440086,9/1/2019
22873330,20661134,10/1/2019
22260885,20413585,11/1/2019
24676753,20552038,12/1/2019
24704023,20515673,1/1/2020
25026469,20572958,2/1/2020
25930662,20595435,3/1/2020
23884935,20622022,4/1/2020
23504424,20608729,5/1/2020
22695678,20615375,6/1/2020
22299258,20718112,7/1/2020
21926145,22519088,8/1/2020
21680708,21618600,9/1/2020
21958098,22068844,10/1/2020
21988129,18438450,11/1/2020
22400681,20253647,12/1/2020
22393169,19346049,1/1/2021
22396925,19799848,2/1/2021
22395047,19572948,3/1/2021
22395986,19686398,4/1/2021
22395517,19629673,5/1/2021
22395751,19658036,6/1/2021
22395634,19643855,7/1/2021
27430462,26063593,8/1/2021
27719810,22853724,9/1/2021
29858065,28001679,10/1/2021
30950708,29817298,11/1/2021
32529119,28909488,12/1/2021
33561617,29363393,1/1/2022
34510752,29840960,2/1/2022
35375000,29602177,3/1/2022
36160748,29721569,4/1/2022
37354021,29661873,5/1/2022
38208627,29691721,6/1/2022
37781324,29676797,7/1/2022
37994975,29684259,8/1/2022
37888150,29680528,9/1/2022
37941563,29682393,10/1/2022
37914856,29681460,11/1/2022
37928209,29681927,12/1/2022
37921533,29681694,1/1/2023
37924871,29681810,2/1/2023
37923202,29681752,3/1/2023
37924037,29681781,4/1/2023
37923619,29681766,5/1/2023
37923828,29681774,6/1/2023
37923724,29681770,7/1/2023
37923776,29681772,8/1/2023
37923750,29681771,9/1/2023
37923763,29681771,10/1/2023
37923756,29681771,11/1/2023
37923759,29681771,12/1/2023
37923758,29681771,1/1/2024
37923759,29681771,2/1/2024
37923758,29681771,3/1/2024
37923758,29681771,4/1/2024
37923758,29681771,5/1/2024
37923758,29681771,6/1/2024
37923758,29681771,7/1/2024
37923758,29681771,8/1/2024
37923758,29681771,9/1/2024
