median,mean,time_1
55196093,56250000,1/1/2019
55159724,56250000,2/1/2019
55177908,56250000,3/1/2019
55168816,56250000,4/1/2019
55173362,56250000,5/1/2019
55171089,56250000,6/1/2019
55172226,56250000,7/1/2019
55171658,56250000,8/1/2019
55171942,56250000,9/1/2019
55171800,56250000,10/1/2019
55171871,56250000,11/1/2019
55171835,56250000,12/1/2019
55171853,56250000,1/1/2020
55171844,56250000,2/1/2020
55171848,56250000,3/1/2020
55171846,56250000,4/1/2020
55171847,56250000,5/1/2020
55171847,56250000,6/1/2020
55171847,56250000,7/1/2020
55171847,56250000,8/1/2020
55171847,56250000,9/1/2020
58300219,56250000,10/1/2020
56736033,56250000,11/1/2020
57518126,56250000,12/1/2020
57127079,56250000,1/1/2021
57322603,56250000,2/1/2021
57224841,56250000,3/1/2021
57273722,56250000,4/1/2021
57249281,56250000,5/1/2021
57261502,56250000,6/1/2021
57255391,56250000,7/1/2021
57258446,56250000,8/1/2021
57256919,56250000,9/1/2021
57257683,56250000,10/1/2021
57257301,56250000,11/1/2021
57257492,56250000,12/1/2021
57257396,56250000,1/1/2022
57257444,56250000,2/1/2022
57257420,56250000,3/1/2022
57257432,56250000,4/1/2022
57257426,56250000,5/1/2022
57257429,56250000,6/1/2022
57257428,56250000,7/1/2022
57257428,56250000,8/1/2022
57257428,56250000,9/1/2022
57257428,56250000,10/1/2022
57257428,56250000,11/1/2022
57257428,56250000,12/1/2022
57257428,56250000,1/1/2023
57257428,56250000,2/1/2023
57257428,56250000,3/1/2023
57257428,56250000,4/1/2023
57257428,56250000,5/1/2023
57257428,56250000,6/1/2023
57257428,56250000,7/1/2023
57257428,56250000,8/1/2023
57257428,56250000,9/1/2023
57257428,56250000,10/1/2023
57257428,56250000,11/1/2023
57257428,56250000,12/1/2023
57257428,56250000,1/1/2024
57257428,56250000,2/1/2024
57257428,56250000,3/1/2024
57257428,56250000,4/1/2024
57257428,56250000,5/1/2024
57257428,56250000,6/1/2024
57257428,56250000,7/1/2024
57257428,56250000,8/1/2024
57257428,56250000,9/1/2024
